Age,Gender,City,Income Range,Employment Status,Order Frequency,Platforms Used,Meal Types,Preferred Cuisines,Spend per Order,Order Influence,Veg Preference,Combo Preference,Group Size,New Combo Likeliness (1-5),Satisfaction (1-5),Acceptable Delivery Time,Repeat Order,Recommended to Others,Tried TasteMate,Experience Rating,Loyalty Program Interest,Preferred Order Day,Communication Opt-in,Delivery Issues
45–54,Female,Chennai,₹15k–30k,Student,Daily,Zomato,Breakfast,"Italian, Chinese, Fusion",₹200–400,"Taste, Discounts",Both,Depends,Family (3–4),1,4,45+ min,No,Yes,No,,No,Fri,No,Limited choice
25–34,Male,Bangalore,₹30k–50k,Student,Daily,Direct,Lunch,"Continental, Indian",₹200–400,Packaging,Non-Veg,Combo,Solo,5,5,30–45 min,Yes,No,Yes,5.0,Maybe,Sun,Yes,Long wait time
25–34,Male,Mumbai,₹30k–50k,Student,Never,Others,Dinner,Continental,₹200–400,Delivery time,Non-Veg,Combo,Solo,4,4,<20 min,Sometimes,No,No,,Maybe,Fri,Yes,Limited choice
45–54,Female,Chennai,₹30k–50k,Working professional,Never,"Others, Zomato","Dinner, Snacks, Breakfast","Chinese, Indian, Continental",₹200–400,Quantity,Both,Combo,Solo,2,5,<20 min,No,Yes,No,,Yes,Wed,Yes,Cold food
25–34,Male,Hyderabad,₹50k–75k,Homemaker,Daily,Direct,"Dinner, Lunch, Snacks",Indian,₹100–200,Discounts,Non-Veg,A la carte,2 people,4,3,20–30 min,Yes,No,No,,No,Fri,No,High price
18–24,Female,Delhi,₹50k–75k,Working professional,Once a week,"Direct, Swiggy",Breakfast,"Indian, Continental",₹100–200,Price,Non-Veg,A la carte,Solo,1,5,20–30 min,Sometimes,Yes,No,,Yes,Sat,No,High price
45–54,Male,Hyderabad,₹75k+,Working professional,Daily,Others,Snacks,"Fusion, Italian, Continental",₹200–400,"Discounts, Quantity, Packaging",Non-Veg,Depends,2 people,2,4,30–45 min,Yes,Yes,No,,Yes,Sun,Yes,Limited choice
25–34,Male,Delhi,₹15k–30k,Working professional,Once a week,"Swiggy, Zomato",Dinner,Indian,₹100–200,Taste,Both,A la carte,Solo,1,4,30–45 min,Sometimes,Yes,No,,No,Sat,No,Limited choice
25–34,Male,Delhi,₹30k–50k,Working professional,Daily,Zomato,Dinner,Chinese,₹200–400,Price,Veg,Combo,Solo,4,3,20–30 min,No,No,No,,Maybe,Sun,No,Long wait time
18–24,Non-binary,Pune,₹15k–30k,Retired,Rarely,Swiggy,"Breakfast, Dinner","Fusion, Chinese",₹100–200,"Delivery time, Price, Taste",Veg,Depends,Solo,4,4,20–30 min,No,No,Yes,3.0,Yes,Thu,Yes,High price
35–44,Female,Delhi,₹15k–30k,Retired,2–3 times/week,Direct,"Breakfast, Lunch",Continental,₹100–200,"Discounts, Quantity, Packaging",Non-Veg,A la carte,Large group,4,5,20–30 min,Sometimes,Yes,No,,Yes,Fri,No,Cold food
25–34,Female,Bangalore,₹15k–30k,Student,2–3 times/week,Direct,Dinner,Indian,₹100–200,Discounts,Veg,A la carte,2 people,1,3,45+ min,Sometimes,No,No,,Maybe,Sat,Yes,High price
25–34,Female,Pune,₹15k–30k,Homemaker,2–3 times/week,"Zomato, Swiggy",Snacks,Continental,₹600+,Quantity,Both,Combo,Solo,3,4,20–30 min,No,Yes,No,,No,Wed,Yes,Long wait time
45–54,Male,Hyderabad,₹30k–50k,Working professional,2–3 times/week,"Direct, Swiggy, Others",Dinner,"Chinese, Fusion",₹100–200,Discounts,Veg,Combo,Solo,4,3,30–45 min,Sometimes,No,No,,Yes,Thu,No,Cold food
35–44,Female,Mumbai,₹50k–75k,Other,2–3 times/week,"Swiggy, Others","Lunch, Snacks, Dinner",Fusion,₹200–400,Discounts,Non-Veg,Depends,2 people,2,5,20–30 min,Yes,No,No,,No,Sat,Yes,High price
18–24,Male,Mumbai,₹15k–30k,Working professional,Daily,"Others, Zomato, Direct",Breakfast,Continental,₹200–400,Delivery time,Veg,A la carte,Solo,4,4,30–45 min,No,Yes,No,,Maybe,Sat,Yes,Cold food
25–34,Female,Mumbai,₹50k–75k,Other,Rarely,Zomato,Snacks,Continental,<₹100,"Delivery time, Quantity, Discounts",Non-Veg,Combo,2 people,1,3,20–30 min,Yes,Yes,No,,Yes,Sun,No,Limited choice
18–24,Male,Hyderabad,₹30k–50k,Homemaker,Rarely,"Swiggy, Zomato","Snacks, Lunch, Breakfast",Indian,₹200–400,"Quantity, Taste, Delivery time",Veg,A la carte,Family (3–4),2,3,20–30 min,Yes,No,Yes,5.0,Yes,Sun,No,Long wait time
35–44,Female,Bangalore,₹15k–30k,Working professional,Once a week,"Swiggy, Direct",Dinner,Italian,₹200–400,"Discounts, Price",Veg,Depends,2 people,3,4,30–45 min,Sometimes,Yes,No,,Yes,Wed,No,Limited choice
<18,Male,Mumbai,₹30k–50k,Working professional,Rarely,Direct,Lunch,Italian,₹200–400,Quantity,Veg,Combo,2 people,4,2,20–30 min,Yes,No,No,,Maybe,Sun,Yes,Limited choice
25–34,Male,Kolkata,₹15k–30k,Other,Daily,Direct,Dinner,Indian,₹400–600,Packaging,Both,A la carte,2 people,2,4,20–30 min,Yes,Yes,No,,Yes,Mon,Yes,"High price, Limited choice, Poor packaging"
35–44,Female,Bangalore,₹30k–50k,Retired,Once a week,Direct,Breakfast,"Indian, Italian, Fusion",₹100–200,Discounts,Veg,Depends,Family (3–4),2,5,<20 min,Sometimes,No,Yes,1.0,Maybe,Sat,Yes,"Limited choice, High price, Long wait time"
45–54,Male,Delhi,₹30k–50k,Student,Once a week,"Zomato, Swiggy, Others",Breakfast,"Italian, Indian",<₹100,Delivery time,Both,Combo,Family (3–4),2,5,20–30 min,Yes,Yes,No,,Maybe,Wed,Yes,Long wait time
25–34,Male,Bangalore,₹15k–30k,Homemaker,Once a week,Direct,Breakfast,Fusion,₹400–600,Quantity,Veg,Depends,2 people,2,2,20–30 min,Yes,Yes,No,,Yes,Thu,No,"Cold food, Limited choice"
35–44,Male,Hyderabad,₹15k–30k,Working professional,Rarely,"Others, Swiggy",Breakfast,Italian,₹100–200,Delivery time,Veg,A la carte,Solo,2,5,30–45 min,No,Yes,No,,Yes,Sun,No,Cold food
18–24,Male,Mumbai,₹30k–50k,Student,2–3 times/week,Swiggy,"Lunch, Dinner, Breakfast","Fusion, Chinese",₹200–400,"Delivery time, Discounts, Taste",Non-Veg,A la carte,Solo,3,4,45+ min,No,No,No,,No,Wed,Yes,"Long wait time, Limited choice, Poor packaging"
35–44,Female,Delhi,₹75k+,Working professional,Daily,Others,Breakfast,Chinese,₹200–400,Discounts,Non-Veg,Combo,Solo,4,3,<20 min,Sometimes,Yes,Yes,4.0,Yes,Sat,Yes,Cold food
18–24,Female,Chennai,₹15k–30k,Working professional,Once a week,Others,"Dinner, Snacks, Breakfast",Continental,₹100–200,"Price, Delivery time",Both,Combo,2 people,3,1,20–30 min,No,Yes,No,,Maybe,Tue,No,High price
25–34,Female,Bangalore,₹50k–75k,Homemaker,Daily,Swiggy,Lunch,Italian,₹200–400,Quantity,Both,A la carte,2 people,4,3,20–30 min,No,No,No,,Yes,Mon,No,Long wait time
35–44,Female,Bangalore,₹30k–50k,Working professional,Once a week,"Direct, Swiggy",Dinner,Italian,₹100–200,Taste,Both,Combo,Solo,4,5,20–30 min,Sometimes,No,No,,Yes,Thu,Yes,High price
18–24,Male,Bangalore,₹75k+,Homemaker,2–3 times/week,Others,Dinner,Italian,₹100–200,Discounts,Both,A la carte,Solo,2,1,20–30 min,No,Yes,Yes,1.0,No,Fri,Yes,Long wait time
18–24,Female,Mumbai,₹50k–75k,Student,2–3 times/week,Others,"Snacks, Lunch",Italian,₹100–200,Price,Non-Veg,Combo,Solo,1,3,30–45 min,No,No,No,,Yes,Wed,Yes,"Cold food, High price, Limited choice"
35–44,Male,Mumbai,₹30k–50k,Working professional,Once a week,Direct,Dinner,Continental,₹400–600,"Quantity, Price, Discounts",Non-Veg,Combo,Family (3–4),5,4,20–30 min,Sometimes,No,No,,No,Thu,No,Poor packaging
35–44,Male,Bangalore,₹30k–50k,Working professional,Rarely,Others,Dinner,Italian,₹100–200,Taste,Both,Depends,2 people,1,4,20–30 min,Yes,Yes,No,,Yes,Sat,Yes,Long wait time
25–34,Female,Delhi,₹50k–75k,Working professional,Once a week,Others,Lunch,Italian,₹200–400,Discounts,Both,A la carte,2 people,2,4,30–45 min,Yes,Yes,No,,No,Tue,No,"Limited choice, Long wait time, Poor packaging"
35–44,Male,Mumbai,₹30k–50k,Student,Daily,"Others, Direct, Zomato","Dinner, Breakfast","Indian, Chinese",₹400–600,Delivery time,Non-Veg,Depends,Solo,1,4,45+ min,Yes,No,No,,No,Thu,Yes,"High price, Poor packaging"
25–34,Female,Chennai,₹15k–30k,Student,2–3 times/week,"Others, Zomato",Breakfast,"Continental, Fusion",₹200–400,"Delivery time, Discounts",Veg,Combo,2 people,4,2,45+ min,No,No,No,,No,Sun,Yes,"Poor packaging, Long wait time"
18–24,Male,Kolkata,<₹15k,Working professional,2–3 times/week,Zomato,Breakfast,Chinese,₹200–400,Taste,Veg,A la carte,Solo,3,5,30–45 min,Yes,Yes,Yes,5.0,No,Thu,Yes,Long wait time
25–34,Female,Chennai,₹50k–75k,Working professional,Once a week,Direct,Lunch,Continental,₹200–400,Price,Both,Combo,2 people,5,3,45+ min,No,Yes,Yes,1.0,Yes,Thu,No,Cold food
18–24,Female,Pune,₹50k–75k,Working professional,Once a week,"Others, Swiggy",Snacks,Continental,₹100–200,Packaging,Non-Veg,Depends,Solo,5,4,20–30 min,Sometimes,Yes,No,,Yes,Sat,No,Limited choice
45–54,Female,Delhi,₹15k–30k,Working professional,Rarely,Others,Snacks,Chinese,₹200–400,Packaging,Non-Veg,Depends,Solo,3,4,20–30 min,No,Yes,Yes,1.0,Yes,Sat,No,"Poor packaging, Limited choice, Cold food"
25–34,Female,Kolkata,₹30k–50k,Retired,Once a week,Others,Dinner,"Italian, Continental",₹200–400,Packaging,Veg,Combo,Solo,3,3,<20 min,Yes,Yes,No,,Yes,Sat,No,"Limited choice, Poor packaging"
25–34,Female,Mumbai,₹30k–50k,Retired,Rarely,Swiggy,Snacks,Fusion,₹600+,"Delivery time, Quantity",Both,Depends,Solo,2,5,30–45 min,Sometimes,Yes,Yes,5.0,Maybe,Sun,No,"High price, Long wait time"
25–34,Male,Kolkata,₹15k–30k,Working professional,Never,Others,Dinner,"Italian, Indian",₹400–600,Taste,Veg,Combo,Large group,2,4,45+ min,Yes,No,Yes,5.0,Yes,Mon,Yes,High price
45–54,Female,Kolkata,₹75k+,Working professional,Once a week,"Direct, Others, Zomato","Lunch, Dinner",Continental,₹400–600,"Delivery time, Quantity",Both,A la carte,Solo,2,2,20–30 min,Sometimes,No,Yes,4.0,No,Sun,No,Poor packaging
18–24,Male,Hyderabad,₹15k–30k,Student,Once a week,Swiggy,Lunch,Fusion,₹400–600,Price,Veg,Depends,Solo,2,5,30–45 min,No,Yes,No,,Yes,Sun,Yes,"Limited choice, High price"
25–34,Female,Kolkata,<₹15k,Other,Daily,Zomato,"Breakfast, Snacks, Lunch",Chinese,₹200–400,"Price, Quantity, Discounts",Both,Depends,2 people,2,4,30–45 min,Yes,Yes,No,,No,Sun,Yes,Limited choice
25–34,Female,Bangalore,₹30k–50k,Student,Never,Swiggy,Breakfast,Fusion,₹200–400,Packaging,Both,Depends,Family (3–4),2,4,45+ min,Sometimes,Yes,No,,Maybe,Fri,Yes,"Cold food, Limited choice"
25–34,Female,Delhi,₹50k–75k,Working professional,Rarely,Direct,Snacks,Fusion,₹400–600,Discounts,Veg,Combo,Solo,3,4,30–45 min,Yes,Yes,No,,Yes,Sun,Yes,Long wait time
<18,Male,Bangalore,<₹15k,Working professional,2–3 times/week,"Direct, Swiggy",Breakfast,"Fusion, Chinese",₹100–200,Discounts,Non-Veg,Combo,2 people,5,5,45+ min,Sometimes,No,No,,Maybe,Wed,No,"High price, Limited choice, Cold food"
45–54,Male,Bangalore,₹30k–50k,Working professional,Daily,Direct,Snacks,Fusion,₹600+,Quantity,Non-Veg,Combo,Family (3–4),3,1,20–30 min,Yes,No,No,,Yes,Sat,Yes,High price
45–54,Female,Mumbai,₹30k–50k,Student,Once a week,Others,Dinner,Italian,₹200–400,"Delivery time, Taste",Veg,A la carte,Solo,5,3,20–30 min,Yes,Yes,No,,Yes,Tue,Yes,Cold food
25–34,Male,Hyderabad,₹15k–30k,Homemaker,Never,"Swiggy, Zomato","Dinner, Lunch",Indian,₹200–400,Delivery time,Both,Depends,Solo,3,4,20–30 min,Yes,Yes,No,,Maybe,Sat,No,"Poor packaging, High price, Limited choice"
35–44,Male,Kolkata,₹15k–30k,Student,Never,Others,Lunch,"Italian, Fusion, Chinese",₹200–400,Discounts,Non-Veg,Combo,Solo,3,2,20–30 min,Yes,Yes,No,,Yes,Fri,No,Poor packaging
45–54,Male,Mumbai,₹30k–50k,Working professional,Once a week,Direct,"Lunch, Breakfast",Indian,₹600+,Packaging,Non-Veg,A la carte,Family (3–4),3,4,<20 min,Sometimes,No,No,,Maybe,Mon,Yes,Cold food
35–44,Female,Chennai,₹15k–30k,Student,Once a week,Others,Breakfast,Italian,₹100–200,Price,Veg,Combo,Solo,2,3,30–45 min,No,Yes,No,,Yes,Sun,Yes,Poor packaging
18–24,Female,Pune,₹75k+,Student,Once a week,Direct,Dinner,Chinese,₹200–400,Packaging,Non-Veg,Combo,Solo,2,3,30–45 min,Sometimes,No,No,,Maybe,Fri,Yes,"Poor packaging, Limited choice"
25–34,Male,Pune,₹50k–75k,Retired,Once a week,"Others, Zomato, Swiggy",Snacks,Chinese,₹200–400,Delivery time,Both,A la carte,2 people,5,1,30–45 min,Yes,No,No,,Yes,Sat,No,Cold food
25–34,Male,Kolkata,₹75k+,Student,Rarely,Swiggy,Dinner,"Chinese, Italian, Fusion",₹100–200,"Quantity, Packaging, Price",Non-Veg,A la carte,2 people,5,4,20–30 min,Yes,Yes,Yes,5.0,No,Wed,No,"Long wait time, Limited choice"
25–34,Male,Bangalore,₹15k–30k,Homemaker,2–3 times/week,Swiggy,"Snacks, Lunch, Breakfast","Continental, Indian",₹200–400,Packaging,Both,Depends,Solo,1,5,20–30 min,No,No,No,,Maybe,Sun,Yes,Limited choice
35–44,Female,Kolkata,₹75k+,Working professional,Once a week,Others,Lunch,Italian,₹200–400,"Quantity, Delivery time, Discounts",Both,Combo,2 people,2,3,20–30 min,Yes,No,Yes,4.0,Yes,Fri,No,Long wait time
45–54,Female,Chennai,₹30k–50k,Student,2–3 times/week,Others,"Dinner, Lunch, Snacks","Indian, Chinese",₹200–400,Quantity,Veg,Depends,Solo,3,4,<20 min,No,No,No,,Yes,Thu,Yes,Cold food
45–54,Male,Mumbai,₹15k–30k,Other,Never,"Zomato, Swiggy, Others","Dinner, Snacks, Breakfast","Fusion, Italian, Chinese",₹100–200,Packaging,Veg,Combo,Solo,2,3,20–30 min,No,No,No,,Maybe,Fri,Yes,"Limited choice, Poor packaging, Cold food"
25–34,Male,Bangalore,<₹15k,Working professional,2–3 times/week,"Swiggy, Others",Lunch,Indian,₹200–400,"Quantity, Price",Both,Combo,2 people,3,4,<20 min,Yes,Yes,No,,Yes,Sat,Yes,"Poor packaging, High price, Cold food"
18–24,Male,Hyderabad,<₹15k,Retired,2–3 times/week,Zomato,Lunch,"Italian, Continental",₹200–400,Packaging,Non-Veg,A la carte,Family (3–4),2,1,<20 min,Sometimes,Yes,Yes,2.0,No,Sat,Yes,"Long wait time, High price, Limited choice"
55+,Female,Delhi,₹30k–50k,Student,Once a week,Others,Dinner,Italian,₹200–400,Delivery time,Veg,Depends,Solo,3,4,30–45 min,Sometimes,No,Yes,2.0,Maybe,Thu,No,Limited choice
35–44,Female,Hyderabad,₹30k–50k,Retired,Never,Direct,Breakfast,"Chinese, Continental, Indian",₹100–200,Delivery time,Veg,Combo,Family (3–4),2,4,<20 min,No,No,Yes,5.0,No,Thu,Yes,Long wait time
18–24,Male,Hyderabad,₹15k–30k,Student,Rarely,Zomato,"Dinner, Breakfast",Fusion,₹600+,Quantity,Non-Veg,Combo,2 people,3,5,45+ min,Yes,No,No,,Yes,Fri,Yes,Poor packaging
45–54,Male,Mumbai,₹30k–50k,Working professional,Once a week,Direct,Dinner,Indian,₹200–400,Discounts,Both,A la carte,Solo,1,3,20–30 min,Yes,Yes,No,,Yes,Sun,Yes,Poor packaging
45–54,Male,Bangalore,₹15k–30k,Homemaker,Once a week,"Others, Zomato, Swiggy","Breakfast, Snacks, Lunch","Italian, Continental",₹200–400,Taste,Veg,Combo,2 people,3,4,45+ min,Yes,No,No,,Yes,Sat,Yes,Cold food
25–34,Non-binary,Chennai,₹30k–50k,Retired,Once a week,Zomato,Snacks,Indian,₹200–400,Discounts,Veg,Depends,Solo,5,4,<20 min,Yes,Yes,No,,Yes,Thu,Yes,High price
25–34,Male,Bangalore,₹30k–50k,Retired,Once a week,Swiggy,Lunch,"Indian, Fusion",₹100–200,Packaging,Both,Depends,Large group,3,5,20–30 min,Yes,Yes,No,,Yes,Thu,Yes,"Limited choice, High price"
25–34,Female,Mumbai,₹50k–75k,Homemaker,2–3 times/week,Others,Snacks,Indian,₹200–400,Discounts,Both,Combo,Family (3–4),5,3,20–30 min,Sometimes,Yes,No,,Maybe,Fri,Yes,Poor packaging
18–24,Female,Mumbai,₹50k–75k,Retired,Rarely,Zomato,Dinner,Continental,₹200–400,Quantity,Non-Veg,A la carte,Solo,4,3,30–45 min,No,Yes,Yes,1.0,Yes,Sun,Yes,Cold food
25–34,Male,Delhi,₹30k–50k,Student,2–3 times/week,"Direct, Others",Lunch,"Chinese, Indian",₹200–400,Taste,Both,Depends,Solo,5,5,20–30 min,No,Yes,Yes,3.0,Maybe,Mon,No,Limited choice
35–44,Male,Pune,₹30k–50k,Working professional,Rarely,Swiggy,Lunch,"Fusion, Chinese, Continental",₹200–400,Quantity,Non-Veg,Combo,Solo,4,1,20–30 min,Yes,No,No,,Maybe,Sat,No,"Cold food, Poor packaging, High price"
<18,Male,Delhi,₹30k–50k,Working professional,2–3 times/week,Direct,Snacks,Continental,₹200–400,Price,Both,A la carte,Solo,4,2,30–45 min,Sometimes,Yes,No,,Maybe,Wed,Yes,Long wait time
25–34,Female,Hyderabad,₹50k–75k,Working professional,Daily,Others,Dinner,Italian,₹100–200,Taste,Non-Veg,Combo,Solo,5,2,20–30 min,Yes,Yes,No,,Yes,Wed,Yes,High price
25–34,Female,Delhi,₹15k–30k,Working professional,Daily,Swiggy,Dinner,Indian,₹200–400,Taste,Veg,A la carte,Solo,1,5,<20 min,Sometimes,Yes,No,,No,Mon,No,Cold food
25–34,Female,Delhi,₹15k–30k,Working professional,Once a week,Others,"Breakfast, Snacks",Fusion,₹100–200,Price,Both,Combo,2 people,3,1,20–30 min,Sometimes,Yes,No,,Yes,Sun,Yes,High price
45–54,Female,Chennai,<₹15k,Student,2–3 times/week,"Swiggy, Others, Zomato",Snacks,"Indian, Chinese",₹100–200,Packaging,Non-Veg,Depends,Solo,5,5,30–45 min,Sometimes,No,No,,Yes,Sun,Yes,Cold food
25–34,Male,Hyderabad,₹30k–50k,Working professional,2–3 times/week,Zomato,Dinner,Indian,₹400–600,Price,Both,Combo,Family (3–4),4,4,20–30 min,Sometimes,Yes,Yes,1.0,No,Mon,Yes,Cold food
25–34,Non-binary,Mumbai,₹30k–50k,Student,Once a week,Direct,Breakfast,Continental,₹200–400,Price,Non-Veg,Combo,Family (3–4),5,1,20–30 min,No,Yes,No,,Maybe,Fri,No,Poor packaging
35–44,Female,Bangalore,₹50k–75k,Working professional,2–3 times/week,Zomato,Snacks,"Italian, Indian",₹200–400,"Price, Taste",Both,Depends,Solo,4,3,<20 min,Yes,No,No,,Yes,Tue,Yes,Cold food
25–34,Male,Mumbai,₹15k–30k,Working professional,2–3 times/week,Direct,Dinner,Continental,₹200–400,Delivery time,Both,Combo,Family (3–4),5,3,20–30 min,Yes,No,Yes,5.0,Yes,Sat,Yes,High price
18–24,Non-binary,Bangalore,₹30k–50k,Homemaker,Never,Swiggy,Breakfast,Chinese,₹400–600,"Discounts, Quantity, Delivery time",Veg,Combo,Solo,4,4,30–45 min,Yes,No,No,,Yes,Sat,Yes,Cold food
25–34,Female,Hyderabad,₹50k–75k,Homemaker,2–3 times/week,Swiggy,Breakfast,"Continental, Chinese, Fusion",₹200–400,Taste,Both,Combo,Solo,4,4,20–30 min,Yes,No,No,,Maybe,Wed,No,"Limited choice, Long wait time, Cold food"
18–24,Female,Mumbai,₹50k–75k,Working professional,Rarely,Swiggy,Lunch,"Chinese, Continental",₹200–400,Delivery time,Non-Veg,Combo,2 people,3,4,20–30 min,No,No,No,,Maybe,Tue,Yes,"Poor packaging, Limited choice, High price"
18–24,Female,Delhi,₹30k–50k,Student,2–3 times/week,Zomato,Lunch,"Continental, Fusion, Chinese",₹100–200,Price,Both,Depends,Solo,5,1,<20 min,Yes,Yes,No,,Yes,Sat,Yes,Cold food
25–34,Female,Delhi,₹30k–50k,Working professional,Daily,Swiggy,Dinner,Italian,₹600+,Packaging,Non-Veg,Depends,2 people,4,4,20–30 min,Sometimes,No,No,,Yes,Sat,Yes,"Cold food, High price"
25–34,Female,Pune,₹15k–30k,Student,2–3 times/week,Zomato,Snacks,Italian,₹400–600,"Price, Taste",Both,Combo,Family (3–4),4,5,20–30 min,Yes,No,No,,Maybe,Mon,Yes,"High price, Cold food"
45–54,Male,Kolkata,₹75k+,Working professional,Rarely,"Swiggy, Zomato, Direct",Lunch,Indian,₹400–600,Price,Non-Veg,Depends,Large group,4,4,20–30 min,No,Yes,No,,Yes,Fri,Yes,Poor packaging
25–34,Male,Mumbai,₹15k–30k,Working professional,2–3 times/week,"Swiggy, Direct, Others",Dinner,Continental,₹100–200,Delivery time,Veg,A la carte,2 people,3,5,20–30 min,Sometimes,No,Yes,4.0,Maybe,Sat,Yes,"Cold food, Limited choice"
25–34,Female,Chennai,₹75k+,Student,2–3 times/week,Direct,Snacks,"Continental, Fusion",₹100–200,Quantity,Veg,Depends,Family (3–4),1,3,45+ min,Yes,No,No,,Yes,Fri,Yes,"Cold food, High price"
25–34,Male,Delhi,₹30k–50k,Working professional,2–3 times/week,"Others, Zomato","Lunch, Breakfast, Snacks",Italian,₹100–200,Delivery time,Non-Veg,Combo,Solo,5,5,<20 min,Sometimes,Yes,No,,Yes,Thu,No,Cold food
<18,Male,Delhi,₹30k–50k,Other,2–3 times/week,Others,"Breakfast, Snacks, Lunch",Fusion,₹100–200,Price,Both,A la carte,Solo,3,3,20–30 min,Sometimes,Yes,Yes,1.0,No,Fri,Yes,Limited choice
35–44,Male,Chennai,<₹15k,Other,Once a week,Others,Lunch,Fusion,₹400–600,Packaging,Both,A la carte,2 people,2,1,20–30 min,Yes,No,No,,Maybe,Fri,No,High price
18–24,Male,Pune,₹30k–50k,Working professional,Once a week,Zomato,Lunch,"Indian, Chinese, Continental",<₹100,Price,Both,A la carte,Solo,2,5,20–30 min,No,Yes,No,,Yes,Fri,Yes,"Cold food, Limited choice, High price"
55+,Female,Kolkata,₹30k–50k,Student,Once a week,"Others, Zomato",Dinner,Italian,<₹100,Delivery time,Veg,A la carte,Solo,4,5,30–45 min,Yes,Yes,No,,Yes,Sun,No,"Limited choice, Cold food"
18–24,Female,Bangalore,₹15k–30k,Student,Rarely,Others,"Breakfast, Lunch",Indian,₹100–200,Price,Non-Veg,Combo,Solo,4,4,20–30 min,Sometimes,No,No,,Yes,Tue,No,High price
25–34,Male,Delhi,₹30k–50k,Working professional,Once a week,Direct,Snacks,Fusion,₹100–200,Price,Veg,Depends,2 people,4,3,<20 min,No,Yes,No,,No,Fri,Yes,Poor packaging
18–24,Male,Chennai,₹75k+,Retired,Once a week,"Others, Swiggy, Direct",Lunch,Fusion,₹100–200,Taste,Both,A la carte,Solo,4,3,30–45 min,No,Yes,No,,Maybe,Tue,No,"Limited choice, Long wait time"
55+,Male,Delhi,₹30k–50k,Student,Daily,Swiggy,"Snacks, Lunch",Fusion,₹200–400,Taste,Both,Depends,2 people,3,4,20–30 min,Sometimes,No,No,,Maybe,Wed,Yes,"Poor packaging, Limited choice"
25–34,Female,Bangalore,₹50k–75k,Homemaker,2–3 times/week,Swiggy,"Dinner, Lunch",Italian,₹200–400,Taste,Non-Veg,Combo,Solo,3,5,<20 min,Yes,No,No,,Yes,Sat,No,"Cold food, Long wait time, High price"
25–34,Female,Delhi,<₹15k,Student,2–3 times/week,Zomato,Breakfast,Continental,<₹100,Discounts,Veg,A la carte,Solo,1,2,20–30 min,Sometimes,Yes,No,,Maybe,Sun,Yes,"Cold food, Poor packaging, High price"
18–24,Male,Hyderabad,₹30k–50k,Other,Once a week,Swiggy,"Snacks, Breakfast",Chinese,₹200–400,Delivery time,Veg,Depends,Solo,4,5,20–30 min,Sometimes,No,No,,Yes,Tue,Yes,Cold food
35–44,Female,Delhi,₹15k–30k,Working professional,Never,Direct,Breakfast,Fusion,₹200–400,Price,Both,A la carte,Solo,1,3,30–45 min,Sometimes,Yes,Yes,2.0,Yes,Sun,Yes,"Cold food, Limited choice, Poor packaging"
18–24,Female,Mumbai,₹30k–50k,Homemaker,Rarely,"Direct, Swiggy, Others",Dinner,Continental,₹100–200,"Discounts, Delivery time",Both,Depends,Family (3–4),4,5,20–30 min,Sometimes,Yes,No,,Maybe,Thu,Yes,High price
45–54,Female,Pune,₹75k+,Working professional,Rarely,"Direct, Swiggy, Others","Dinner, Snacks, Lunch",Italian,₹200–400,Discounts,Both,Depends,Solo,3,5,20–30 min,Yes,Yes,No,,Yes,Thu,No,Poor packaging
18–24,Female,Mumbai,₹30k–50k,Working professional,2–3 times/week,Zomato,Dinner,Chinese,₹200–400,Discounts,Veg,Combo,Solo,3,3,20–30 min,Sometimes,No,No,,Yes,Tue,Yes,"Limited choice, Cold food"
18–24,Male,Bangalore,<₹15k,Student,Daily,"Others, Zomato, Swiggy","Breakfast, Dinner, Snacks","Fusion, Chinese, Continental",₹200–400,Packaging,Both,A la carte,2 people,5,3,20–30 min,Yes,Yes,No,,Yes,Fri,Yes,"Cold food, Limited choice"
<18,Female,Delhi,₹30k–50k,Student,Once a week,Direct,Breakfast,"Chinese, Fusion, Continental",₹200–400,Price,Both,Combo,Solo,1,5,45+ min,No,Yes,No,,Maybe,Fri,No,Poor packaging
25–34,Male,Mumbai,₹30k–50k,Retired,Once a week,"Zomato, Direct","Snacks, Lunch",Continental,<₹100,"Taste, Discounts",Non-Veg,A la carte,Solo,4,4,<20 min,Yes,No,No,,No,Thu,No,"Limited choice, Cold food, Long wait time"
25–34,Female,Mumbai,₹30k–50k,Retired,Once a week,Zomato,Lunch,"Italian, Continental, Indian",₹600+,"Price, Quantity, Discounts",Non-Veg,Combo,Solo,1,4,45+ min,Sometimes,Yes,No,,Yes,Fri,No,Long wait time
18–24,Female,Mumbai,₹50k–75k,Retired,2–3 times/week,Swiggy,Dinner,Fusion,₹400–600,"Discounts, Taste",Veg,Depends,Large group,1,4,20–30 min,Sometimes,No,No,,Maybe,Fri,No,Cold food
35–44,Female,Pune,₹50k–75k,Working professional,2–3 times/week,Swiggy,Breakfast,"Italian, Chinese",₹400–600,"Taste, Delivery time",Non-Veg,A la carte,2 people,3,3,30–45 min,Sometimes,Yes,No,,Maybe,Fri,Yes,"Limited choice, Long wait time"
25–34,Female,Delhi,₹30k–50k,Homemaker,2–3 times/week,"Direct, Swiggy, Others","Lunch, Breakfast","Indian, Fusion",<₹100,"Discounts, Delivery time, Packaging",Both,A la carte,Solo,1,5,20–30 min,Yes,No,No,,Maybe,Thu,Yes,Long wait time
